,fullName,activities
43,Blackstone River Valley National Historical Park,"Biking, Camping, Canoe or Kayak Camping, Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Wildlife Watching, Birdwatching"
44,Blue Ridge Parkway,"Arts and Culture, Live Music, Auto and ATV, Scenic Driving, Biking, Road Biking, Camping, Car or Front Country Camping, Fishing, Freshwater Fishing, Food, Picnicking, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Shopping, Bookstore and Park Store"
45,Bluestone National Scenic River,"Biking, Mountain Biking, Boating, Fishing, Freshwater Fishing, Guided Tours, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching"
46,Booker T Washington National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Reenactments, Junior Ranger Program, Park Film, Museum Exhibits"
47,Boston African American National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Museum Exhibits"
48,Boston Harbor Islands National Recreation Area,"Arts and Culture, Live Music, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Saltwater Fishing, Food, Dining, Picnicking, Guided Tours, Hiking, Living History, Paddling, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching"
49,Boston National Historical Park,"Fishing, Guided Tours, Junior Ranger Program, Museum Exhibits"
50,Brices Cross Roads National Battlefield Site,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto"
51,Brown v. Board of Education National Historic Site,"Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
52,Bryce Canyon National Park,"Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Food, Dining, Guided Tours, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Hiking, Backcountry Hiking, Horse Trekking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
53,Buck Island Reef National Monument,"Boating, Sailing, Hiking, Paddling, Kayaking, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching"
54,Buffalo National River,"Camping, Backcountry Camping, Caving, Fishing, Food, Guided Tours, Hiking, Backcountry Hiking, Off-Trail Permitted Hiking, Horse Trekking, Hunting and Gathering, Paddling, Canoeing, Junior Ranger Program, Wildlife Watching"
55,Cabrillo National Monument,"Biking, Road Biking, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
56,California National Historic Trail,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Museum Exhibits"
57,Camp Nelson National Monument,"Hiking, Front-Country Hiking, Junior Ranger Program, Museum Exhibits"
58,Canaveral National Seashore,"Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, Fishing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Paddling, Junior Ranger Program, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Gift Shop and Souvenirs"
59,Cane River Creole National Historical Park,"Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
60,Canyon de Chelly National Monument,"Auto and ATV, Scenic Driving, Camping, Guided Tours, Hiking, Junior Ranger Program, Shopping, Bookstore and Park Store"
61,Canyonlands National Park,"Astronomy, Stargazing, Biking, Boating, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Climbing, Rock Climbing, Guided Tours, Boat Tour, Hiking, Horse Trekking, Horseback Riding, Paddling, Canoe or Kayak Camping, Whitewater Rafting, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
62,Cape Cod National Seashore,"Auto and ATV, Auto Off-Roading, Biking, Camping, RV Camping, Fishing, Freshwater Fishing, Saltwater Fishing, Golfing, Guided Tours, Bus/Shuttle Guided Tour, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
63,Cape Hatteras National Seashore,"Auto and ATV, Auto Off-Roading, Astronomy, Stargazing, Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Saltwater Fishing, Food, Picnicking, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Snorkeling, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
64,Cape Henry Memorial Part of Colonial National Historical Park,"Guided Tours, Self-Guided Tours - Walking"
65,Cape Krusenstern National Monument,"Camping, Backcountry Camping, Flying, Fixed Wing Flying, Hands-On, Arts and Crafts, Hiking, Backcountry Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
66,Cape Lookout National Seashore,"Auto and ATV, ATV Off-Roading, Auto Off-Roading, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Saltwater Fishing, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Swimming, Saltwater Swimming, Wildlife Watching, Shopping, Bookstore and Park Store"
67,Capitol Hill Parks,"Arts and Culture, Biking, Food, Picnicking, Flying, Guided Tours, Self-Guided Tours - Walking, Bus/Shuttle Guided Tour, Junior Ranger Program, Playground"
68,Capitol Reef National Park,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Canyoneering, Climbing, Rock Climbing, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Citizen Science, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Living History, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
69,Captain John Smith Chesapeake National Historic Trail,"Boating, Boat Tour, Compass and GPS, Geocaching, Fishing, Guided Tours, Living History, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Tubing, River Tubing, Swimming, Wildlife Watching, Birdwatching"
70,Capulin Volcano National Monument,"Astronomy, Stargazing, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits"
71,Carl Sandburg Home National Historic Site,"Arts and Culture, Theater, Guided Tours"
72,Carlsbad Caverns National Park,"Astronomy, Stargazing, Camping, Caving, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
73,Carter G. Woodson Home National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
74,Casa Grande Ruins National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Food, Picnicking, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
75,Castillo de San Marcos National Monument,"Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film"
76,Castle Clinton National Monument,"Arts and Culture, Guided Tours, Junior Ranger Program, Shopping, Bookstore and Park Store"
77,Castle Mountains National Monument,"Camping, Car or Front Country Camping, Group Camping, RV Camping"
78,Catoctin Mountain Park,"Camping, Car or Front Country Camping, Group Camping, Climbing, Compass and GPS, Orienteering, Fishing, Fly Fishing, Food, Picnicking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Museum Exhibits, Shopping, Bookstore and Park Store"
79,Cedar Breaks National Monument,"Arts and Culture, Astronomy, Stargazing, Camping, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
80,Cedar Creek & Belle Grove National Historical Park,"Astronomy, Stargazing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
81,Chaco Culture National Historical Park,"Astronomy, Camping, Guided Tours, Hiking"
82,Chamizal National Memorial,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
83,Channel Islands National Park,"Astronomy, Stargazing, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, Compass and GPS, Orienteering, Fishing, Saltwater Fishing, Food, Picnicking, Flying, Fixed Wing Flying, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Paddling, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
84,Charles Pinckney National Historic Site,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
85,Charles Young Buffalo Soldiers National Monument,"Food, Dining, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Park Film"
86,Chattahoochee River National Recreation Area,"Biking, Boating, Fishing, Hiking, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Whitewater Rafting, Junior Ranger Program, Tubing, River Tubing, Swimming, Freshwater Swimming, Wildlife Watching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
87,Chesapeake & Ohio Canal National Historical Park,"Biking, Road Biking, Boating, Boat Tour, Camping, Car or Front Country Camping, Group Camping, Fishing, Freshwater Fishing, Guided Tours, Boat Tour, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Ice Skating, Paddling, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Shopping"
88,Chesapeake Bay,"Boating, Compass and GPS, Geocaching, Guided Tours, Paddling, Junior Ranger Program, Wildlife Watching"
89,Chesapeake Bay Gateways and Watertrails Network,
90,Chickamauga & Chattanooga National Military Park,"Auto and ATV, Scenic Driving, Biking, Road Biking, Climbing, Rock Climbing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
91,Chickasaw National Recreation Area,"Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Jet Skiing, Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Food, Picnicking, Hands-On, Volunteer Vacation, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Gathering and Foraging, Hunting, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
92,Chiricahua National Monument,"Astronomy, Stargazing, Camping, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
93,Christiansted National Historic Site,"Arts and Culture, Live Music, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
94,City Of Rocks National Reserve,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Mountain Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Climbing, Rock Climbing, Ice Climbing, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Ice Skating, Living History, First Person Interpretation, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
95,Civil War Defenses of Washington,"Arts and Culture, Theater, Biking, Mountain Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Living History, First Person Interpretation, Junior Ranger Program, Wildlife Watching"
96,Clara Barton National Historic Site,"Guided Tours, Museum Exhibits"
97,Colonial National Historical Park,"Arts and Culture, Auto and ATV, Scenic Driving, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
98,Colorado National Monument,"Auto and ATV, Scenic Driving, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Climbing, Rock Climbing, Hiking, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store"
99,Coltsville National Historical Park,
